Id,StepTotal,Date,Time
1503960366,0,2016-03-12,00:00:00
1503960366,0,2016-03-12,01:00:00
1503960366,0,2016-03-12,02:00:00
1503960366,0,2016-03-12,03:00:00
1503960366,0,2016-03-12,04:00:00
1503960366,0,2016-03-12,05:00:00
1503960366,0,2016-03-12,06:00:00
1503960366,0,2016-03-12,07:00:00
1503960366,0,2016-03-12,08:00:00
1503960366,8,2016-03-12,09:00:00
1503960366,551,2016-03-12,10:00:00
1503960366,1764,2016-03-12,11:00:00
1503960366,1259,2016-03-12,12:00:00
1503960366,253,2016-03-12,13:00:00
1503960366,4470,2016-03-12,14:00:00
1503960366,4919,2016-03-12,15:00:00
1503960366,1905,2016-03-12,16:00:00
1503960366,1038,2016-03-12,17:00:00
1503960366,14,2016-03-12,18:00:00
1503960366,606,2016-03-12,19:00:00
1503960366,56,2016-03-12,20:00:00
1503960366,782,2016-03-12,21:00:00
1503960366,1132,2016-03-12,22:00:00
1503960366,918,2016-03-12,23:00:00
1503960366,39,2016-03-13,00:00:00
1503960366,0,2016-03-13,01:00:00
1503960366,27,2016-03-13,02:00:00
1503960366,0,2016-03-13,03:00:00
1503960366,0,2016-03-13,04:00:00
1503960366,0,2016-03-13,05:00:00
1503960366,0,2016-03-13,06:00:00
1503960366,0,2016-03-13,07:00:00
1503960366,6,2016-03-13,08:00:00
1503960366,73,2016-03-13,09:00:00
1503960366,2850,2016-03-13,10:00:00
1503960366,4854,2016-03-13,11:00:00
1503960366,24,2016-03-13,12:00:00
1503960366,118,2016-03-13,13:00:00
1503960366,19,2016-03-13,14:00:00
1503960366,510,2016-03-13,15:00:00
1503960366,510,2016-03-13,16:00:00
1503960366,96,2016-03-13,17:00:00
1503960366,4100,2016-03-13,18:00:00
1503960366,1756,2016-03-13,19:00:00
1503960366,477,2016-03-13,20:00:00
1503960366,147,2016-03-13,21:00:00
1503960366,214,2016-03-13,22:00:00
1503960366,1286,2016-03-13,23:00:00
