Id,Calories,Date,Time
1503960366,48,2016-03-12,00:00:00
1503960366,48,2016-03-12,01:00:00
1503960366,48,2016-03-12,02:00:00
1503960366,48,2016-03-12,03:00:00
1503960366,48,2016-03-12,04:00:00
1503960366,48,2016-03-12,05:00:00
1503960366,48,2016-03-12,06:00:00
1503960366,48,2016-03-12,07:00:00
1503960366,48,2016-03-12,08:00:00
1503960366,49,2016-03-12,09:00:00
1503960366,89,2016-03-12,10:00:00
1503960366,134,2016-03-12,11:00:00
1503960366,130,2016-03-12,12:00:00
1503960366,81,2016-03-12,13:00:00
1503960366,254,2016-03-12,14:00:00
1503960366,271,2016-03-12,15:00:00
1503960366,141,2016-03-12,16:00:00
1503960366,104,2016-03-12,17:00:00
1503960366,54,2016-03-12,18:00:00
1503960366,97,2016-03-12,19:00:00
1503960366,58,2016-03-12,20:00:00
1503960366,100,2016-03-12,21:00:00
1503960366,123,2016-03-12,22:00:00
1503960366,111,2016-03-12,23:00:00
1503960366,55,2016-03-13,00:00:00
1503960366,48,2016-03-13,01:00:00
1503960366,50,2016-03-13,02:00:00
1503960366,48,2016-03-13,03:00:00
1503960366,48,2016-03-13,04:00:00
1503960366,48,2016-03-13,05:00:00
1503960366,48,2016-03-13,06:00:00
1503960366,49,2016-03-13,07:00:00
1503960366,49,2016-03-13,08:00:00
1503960366,56,2016-03-13,09:00:00
1503960366,189,2016-03-13,10:00:00
1503960366,270,2016-03-13,11:00:00
1503960366,52,2016-03-13,12:00:00
1503960366,66,2016-03-13,13:00:00
1503960366,57,2016-03-13,14:00:00
1503960366,89,2016-03-13,15:00:00
1503960366,91,2016-03-13,16:00:00
1503960366,61,2016-03-13,17:00:00
1503960366,237,2016-03-13,18:00:00
1503960366,146,2016-03-13,19:00:00
1503960366,87,2016-03-13,20:00:00
1503960366,66,2016-03-13,21:00:00
1503960366,72,2016-03-13,22:00:00
1503960366,118,2016-03-13,23:00:00
1503960366,56,2016-03-14,00:00:00
1503960366,54,2016-03-14,01:00:00
1503960366,49,2016-03-14,02:00:00
1503960366,48,2016-03-14,03:00:00
1503960366,48,2016-03-14,04:00:00
1503960366,49,2016-03-14,05:00:00
1503960366,48,2016-03-14,06:00:00
1503960366,53,2016-03-14,07:00:00
1503960366,68,2016-03-14,08:00:00
1503960366,199,2016-03-14,09:00:00
1503960366,59,2016-03-14,10:00:00
1503960366,72,2016-03-14,11:00:00
1503960366,66,2016-03-14,12:00:00
1503960366,54,2016-03-14,13:00:00
1503960366,59,2016-03-14,14:00:00
1503960366,71,2016-03-14,15:00:00
1503960366,68,2016-03-14,16:00:00
1503960366,76,2016-03-14,17:00:00
1503960366,96,2016-03-14,18:00:00
1503960366,100,2016-03-14,19:00:00
1503960366,124,2016-03-14,20:00:00
1503960366,67,2016-03-14,21:00:00
1503960366,48,2016-03-14,22:00:00
1503960366,198,2016-03-14,23:00:00
1503960366,56,2016-03-15,00:00:00
1503960366,55,2016-03-15,01:00:00
1503960366,54,2016-03-15,02:00:00
1503960366,48,2016-03-15,03:00:00
1503960366,49,2016-03-15,04:00:00
1503960366,48,2016-03-15,05:00:00
1503960366,49,2016-03-15,06:00:00
1503960366,49,2016-03-15,07:00:00
1503960366,91,2016-03-15,08:00:00
1503960366,148,2016-03-15,09:00:00
1503960366,92,2016-03-15,10:00:00
1503960366,104,2016-03-15,11:00:00
1503960366,142,2016-03-15,12:00:00
1503960366,77,2016-03-15,13:00:00
1503960366,107,2016-03-15,14:00:00
1503960366,77,2016-03-15,15:00:00
1503960366,96,2016-03-15,16:00:00
1503960366,90,2016-03-15,17:00:00
1503960366,82,2016-03-15,18:00:00
1503960366,75,2016-03-15,19:00:00
1503960366,207,2016-03-15,20:00:00
1503960366,131,2016-03-15,21:00:00
1503960366,108,2016-03-15,22:00:00
1503960366,76,2016-03-15,23:00:00
1503960366,48,2016-03-16,00:00:00
1503960366,48,2016-03-16,01:00:00
1503960366,50,2016-03-16,02:00:00
1503960366,48,2016-03-16,03:00:00
1503960366,48,2016-03-16,04:00:00
1503960366,49,2016-03-16,05:00:00
1503960366,48,2016-03-16,06:00:00
1503960366,56,2016-03-16,07:00:00
1503960366,91,2016-03-16,08:00:00
1503960366,125,2016-03-16,09:00:00
1503960366,73,2016-03-16,10:00:00
1503960366,105,2016-03-16,11:00:00
1503960366,124,2016-03-16,12:00:00
1503960366,79,2016-03-16,13:00:00
1503960366,61,2016-03-16,14:00:00
1503960366,86,2016-03-16,15:00:00
1503960366,103,2016-03-16,16:00:00
1503960366,122,2016-03-16,17:00:00
1503960366,166,2016-03-16,18:00:00
1503960366,59,2016-03-16,19:00:00
1503960366,72,2016-03-16,20:00:00
1503960366,146,2016-03-16,21:00:00
1503960366,78,2016-03-16,22:00:00
1503960366,82,2016-03-16,23:00:00
1503960366,70,2016-03-17,00:00:00
1503960366,50,2016-03-17,01:00:00
1503960366,49,2016-03-17,02:00:00
1503960366,48,2016-03-17,03:00:00
1503960366,48,2016-03-17,04:00:00
1503960366,48,2016-03-17,05:00:00
1503960366,49,2016-03-17,06:00:00
1503960366,50,2016-03-17,07:00:00
1503960366,67,2016-03-17,08:00:00
1503960366,125,2016-03-17,09:00:00
1503960366,69,2016-03-17,10:00:00
1503960366,148,2016-03-17,11:00:00
1503960366,70,2016-03-17,12:00:00
1503960366,113,2016-03-17,13:00:00
1503960366,119,2016-03-17,14:00:00
1503960366,86,2016-03-17,15:00:00
1503960366,94,2016-03-17,16:00:00
1503960366,66,2016-03-17,17:00:00
1503960366,76,2016-03-17,18:00:00
1503960366,158,2016-03-17,19:00:00
1503960366,75,2016-03-17,20:00:00
1503960366,146,2016-03-17,21:00:00
1503960366,97,2016-03-17,22:00:00
1503960366,118,2016-03-17,23:00:00
1503960366,76,2016-03-18,00:00:00
1503960366,58,2016-03-18,01:00:00
1503960366,48,2016-03-18,02:00:00
1503960366,48,2016-03-18,03:00:00
1503960366,48,2016-03-18,04:00:00
1503960366,49,2016-03-18,05:00:00
1503960366,51,2016-03-18,06:00:00
1503960366,49,2016-03-18,07:00:00
1503960366,67,2016-03-18,08:00:00
1503960366,147,2016-03-18,09:00:00
1503960366,73,2016-03-18,10:00:00
1503960366,72,2016-03-18,11:00:00
1503960366,64,2016-03-18,12:00:00
1503960366,68,2016-03-18,13:00:00
1503960366,207,2016-03-18,14:00:00
1503960366,101,2016-03-18,15:00:00
1503960366,76,2016-03-18,16:00:00
1503960366,59,2016-03-18,17:00:00
1503960366,82,2016-03-18,18:00:00
1503960366,238,2016-03-18,19:00:00
1503960366,121,2016-03-18,20:00:00
1503960366,72,2016-03-18,21:00:00
1503960366,54,2016-03-18,22:00:00
1503960366,74,2016-03-18,23:00:00
1503960366,57,2016-03-19,00:00:00
1503960366,48,2016-03-19,01:00:00
1503960366,48,2016-03-19,02:00:00
1503960366,49,2016-03-19,03:00:00
1503960366,48,2016-03-19,04:00:00
1503960366,48,2016-03-19,05:00:00
1503960366,49,2016-03-19,06:00:00
1503960366,52,2016-03-19,07:00:00
1503960366,92,2016-03-19,08:00:00
1503960366,216,2016-03-19,09:00:00
1503960366,148,2016-03-19,10:00:00
1503960366,130,2016-03-19,11:00:00
1503960366,109,2016-03-19,12:00:00
1503960366,74,2016-03-19,13:00:00
1503960366,71,2016-03-19,14:00:00
1503960366,61,2016-03-19,15:00:00
1503960366,63,2016-03-19,16:00:00
1503960366,69,2016-03-19,17:00:00
1503960366,58,2016-03-19,18:00:00
1503960366,92,2016-03-19,19:00:00
1503960366,86,2016-03-19,20:00:00
1503960366,58,2016-03-19,21:00:00
1503960366,97,2016-03-19,22:00:00
